S&S_Title	Wikidata_ID	Director	Director_gender	Screenwriter	Screenwriter_gender	Original_Title	English_Title	IMDb ID	Genre	RT_Score(%)	IMDb_Rating	Language	Silent	Actors	Runtime(min)	Rated	Country	Year	2022_Poll	2012_Poll	Position_2022	Position_2012	OMDb
City Lights	Q238211	Charlie Chaplin	male	Charlie Chaplin	male	City Lights	City Lights	tt0021749	Comedy, Drama, Romance	97	8.5	English	true	Charles Chaplin, Virginia Cherrill, Florence Lee	87	G	United States	1931	true	true	36	50	"{""Title"":""City Lights"",""Year"":""1931"",""Rated"":""G"",""Released"":""07 Mar 1931"",""Runtime"":""87 min"",""Genre"":""Comedy, Drama, Romance"",""Director"":""Charles Chaplin"",""Writer"":""Charles Chaplin, Harry Carr, Harry Crocker"",""Actors"":""Charles Chaplin, Virginia Cherrill, Florence Lee"",""Plot"":""With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."",""Language"":""None, English"",""Country"":""United States"",""Awards"":""4 wins & 1 nomination"",""Poster"":""https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.5/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""},{""Source"":""Metacritic"",""Value"":""99/100""}],""Metascore"":""99"",""imdbRating"":""8.5"",""imdbVotes"":""184,997"",""imdbID"":""tt0021749"",""Type"":""movie"",""DVD"":""23 Feb 2010"",""BoxOffice"":""$19,181"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
M	Q127021	Fritz Lang	male	Fritz Lang&Thea von Harbou&Paul Falkenberg	male&female&male	M	M	tt0022100	Crime, Mystery, Thriller	100	8.3	German	false	Peter Lorre, Ellen Widmann, Inge Landgut	99	Passed	Germany	1931	true	true	36	56	"{""Title"":""M"",""Year"":""1931"",""Rated"":""Passed"",""Released"":""31 Aug 1931"",""Runtime"":""99 min"",""Genre"":""Crime, Mystery, Thriller"",""Director"":""Fritz Lang"",""Writer"":""Thea von Harbou, Fritz Lang, Egon Jacobsohn"",""Actors"":""Peter Lorre, Ellen Widmann, Inge Landgut"",""Plot"":""When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."",""Language"":""German"",""Country"":""Germany"",""Awards"":""2 wins"",""Poster"":""https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""8.3"",""imdbVotes"":""158,197"",""imdbID"":""tt0022100"",""Type"":""movie"",""DVD"":""14 Dec 2004"",""BoxOffice"":""$35,566"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
L’Atalante	Q780016	Jean Vigo	male	Jean Vigo	male	L'Atalante	L'Atalante	tt0024844	Comedy, Drama, Romance	100	7.8	French, Russian	false	Dita Parlo, Jean Dasté, Gilles Margaritis	89	Not Rated	France	1934	true	true	34	39	"{""Title"":""L'Atalante"",""Year"":""1934"",""Rated"":""Not Rated"",""Released"":""21 Jun 1947"",""Runtime"":""89 min"",""Genre"":""Comedy, Drama, Romance"",""Director"":""Jean Vigo"",""Writer"":""Jean Guinée, Albert Riéra, Jean Vigo"",""Actors"":""Dita Parlo, Jean Dasté, Gilles Margaritis"",""Plot"":""Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy."",""Language"":""French, Russian"",""Country"":""France"",""Awards"":""1 nomination"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMGRkOTA2NjYtMDEyOC00MWUxLTkzMjctZmU0MjVjZTQ1MjZlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.8/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""7.8"",""imdbVotes"":""16,205"",""imdbID"":""tt0024844"",""Type"":""movie"",""DVD"":""30 Aug 2011"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Modern Times	Q45602	Charlie Chaplin	male	Charlie Chaplin	male	Modern Times	Modern Times	tt0027977	Comedy, Drama, Romance	98	8.5	English	false	Charles Chaplin, Paulette Goddard, Henry Bergman	87	G	United States	1936	true	true	78	63	"{""Title"":""Modern Times"",""Year"":""1936"",""Rated"":""G"",""Released"":""25 Feb 1936"",""Runtime"":""87 min"",""Genre"":""Comedy, Drama, Romance"",""Director"":""Charles Chaplin"",""Writer"":""Charles Chaplin"",""Actors"":""Charles Chaplin, Paulette Goddard, Henry Bergman"",""Plot"":""The Tramp struggles to live in modern industrial society with the help of a young homeless woman."",""Language"":""English"",""Country"":""United States"",""Awards"":""4 wins & 1 nomination"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.5/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""},{""Source"":""Metacritic"",""Value"":""96/100""}],""Metascore"":""96"",""imdbRating"":""8.5"",""imdbVotes"":""242,887"",""imdbID"":""tt0027977"",""Type"":""movie"",""DVD"":""16 Nov 2010"",""BoxOffice"":""$163,577"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Partie de campagne	Q1306481	Jean Renoir	male	Jean Renoir	male	Partie de campagne	A Day in the Country	tt0028445	Short, Comedy, Drama	100	7.5	French	false	Sylvia Bataille, Jane Marken, Georges D'Arnoux	40	Not Rated	France	1936	false	true		90	"{""Title"":""A Day in the Country"",""Year"":""1946"",""Rated"":""Not Rated"",""Released"":""12 Dec 1950"",""Runtime"":""40 min"",""Genre"":""Short, Comedy, Drama"",""Director"":""Jean Renoir"",""Writer"":""Jean Renoir, Guy de Maupassant"",""Actors"":""Sylvia Bataille, Jane Marken, Georges D'Arnoux"",""Plot"":""The family of a Parisian shop-owner spends a day in the country. The daughter falls in love with a man at the inn, where they spend the day."",""Language"":""French"",""Country"":""France"",""Awards"":""3 wins & 1 nomination"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMTFmMzgwMWEtMDVlNy00MDdhLWJjODEtZjU3MTY3MzhhMjZmXkEyXkFqcGdeQXVyNjI5NTk0MzE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.5/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""7.5"",""imdbVotes"":""6,581"",""imdbID"":""tt0028445"",""Type"":""movie"",""DVD"":""10 Feb 2015"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
La Grande Illusion	Q470336	Jean Renoir	male	Jean Renoir&Charles Spaak	male&male	La Grande Illusion	The Grand Illusion	tt0028950	Drama, War	97	8.1	French, German, English, Russian	false	Jean Gabin, Dita Parlo, Pierre Fresnay	113	Not Rated	France	1937	false	true		73	"{""Title"":""The Grand Illusion"",""Year"":""1937"",""Rated"":""Not Rated"",""Released"":""12 Sep 1938"",""Runtime"":""113 min"",""Genre"":""Drama, War"",""Director"":""Jean Renoir"",""Writer"":""Charles Spaak, Jean Renoir"",""Actors"":""Jean Gabin, Dita Parlo, Pierre Fresnay"",""Plot"":""During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."",""Language"":""French, German, English, Russian"",""Country"":""France"",""Awards"":""Nominated for 1 Oscar. 6 wins & 2 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMTg3MTI5NTk0N15BMl5BanBnXkFtZTgwMjU1MDM5MTE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.1/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""}],""Metascore"":""N/A"",""imdbRating"":""8.1"",""imdbVotes"":""36,986"",""imdbID"":""tt0028950"",""Type"":""movie"",""DVD"":""23 Nov 1999"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
La Règle du Jeu	Q748599	Jean Renoir	male	Jean Renoir&Carl Koch	male&male	La Règle du jeu	The Rules of the Game	tt0031885	Comedy, Drama	96	7.9	French, German, English	false	Marcel Dalio, Nora Gregor, Paulette Dubost	110	Not Rated	France	1939	true	true	13	15	"{""Title"":""The Rules of the Game"",""Year"":""1939"",""Rated"":""Not Rated"",""Released"":""08 Apr 1950"",""Runtime"":""110 min"",""Genre"":""Comedy, Drama"",""Director"":""Jean Renoir"",""Writer"":""Jean Renoir, Carl Koch, Beaumarchais"",""Actors"":""Marcel Dalio, Nora Gregor, Paulette Dubost"",""Plot"":""A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."",""Language"":""French, German, English"",""Country"":""France"",""Awards"":""4 wins & 2 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYTE4NjYxMGEtZmQxZi00YWVmLWJjZTctYTJmNDFmZGEwNDVhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.9/10""},{""Source"":""Rotten Tomatoes"",""Value"":""96%""}],""Metascore"":""N/A"",""imdbRating"":""7.9"",""imdbVotes"":""29,280"",""imdbID"":""tt0031885"",""Type"":""movie"",""DVD"":""20 Jan 2004"",""BoxOffice"":""$273,641"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Citizen Kane	Q24815	Orson Welles	male	Orson Welles&Herman J. Mankiewicz&John Houseman	male&male&male	Citizen Kane	Citizen Kane	tt0033467	Drama, Mystery	99	8.3	English, Italian	false	Orson Welles, Joseph Cotten, Dorothy Comingore	119	PG	United States	1941	true	true	3	2	"{""Title"":""Citizen Kane"",""Year"":""1941"",""Rated"":""PG"",""Released"":""05 Sep 1941"",""Runtime"":""119 min"",""Genre"":""Drama, Mystery"",""Director"":""Orson Welles"",""Writer"":""Herman J. Mankiewicz, Orson Welles, John Houseman"",""Actors"":""Orson Welles, Joseph Cotten, Dorothy Comingore"",""Plot"":""Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"",""Language"":""English, Italian"",""Country"":""United States"",""Awards"":""Won 1 Oscar. 11 wins & 13 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""99%""},{""Source"":""Metacritic"",""Value"":""100/100""}],""Metascore"":""100"",""imdbRating"":""8.3"",""imdbVotes"":""442,347"",""imdbID"":""tt0033467"",""Type"":""movie"",""DVD"":""23 Feb 2010"",""BoxOffice"":""$1,627,530"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Casablanca	Q132689	Michael Curtiz	male	Julius J. Epstein&Philip G. Epstein&Howard Koch&Casey Robinson&Howard W. Koch	male&male&male&male&male	Casablanca	Casablanca	tt0034583	Drama, Romance, War	99	8.5	English, French, German, Italian	false	Humphrey Bogart, Ingrid Bergman, Paul Henreid	102	PG	United States	1942	true	true	63	84	"{""Title"":""Casablanca"",""Year"":""1942"",""Rated"":""PG"",""Released"":""23 Jan 1943"",""Runtime"":""102 min"",""Genre"":""Drama, Romance, War"",""Director"":""Michael Curtiz"",""Writer"":""Julius J. Epstein, Philip G. Epstein, Howard Koch"",""Actors"":""Humphrey Bogart, Ingrid Bergman, Paul Henreid"",""Plot"":""A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco."",""Language"":""English, French, German, Italian"",""Country"":""United States"",""Awards"":""Won 3 Oscars. 13 wins & 9 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.5/10""},{""Source"":""Rotten Tomatoes"",""Value"":""99%""},{""Source"":""Metacritic"",""Value"":""100/100""}],""Metascore"":""100"",""imdbRating"":""8.5"",""imdbVotes"":""570,558"",""imdbID"":""tt0034583"",""Type"":""movie"",""DVD"":""17 Nov 1998"",""BoxOffice"":""$4,219,709"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Magnificent Ambersons	Q628664	Orson Welles&Robert Wise	male&male	Orson Welles	male	The Magnificent Ambersons	The Magnificent Ambersons	tt0035015	Drama, Romance	89	7.6	English	false	Tim Holt, Joseph Cotten, Dolores Costello	88	Not Rated	United States	1942	false	true		81	"{""Title"":""The Magnificent Ambersons"",""Year"":""1942"",""Rated"":""Not Rated"",""Released"":""10 Jul 1942"",""Runtime"":""88 min"",""Genre"":""Drama, Romance"",""Director"":""Orson Welles, Fred Fleck, Robert Wise"",""Writer"":""Booth Tarkington, Orson Welles, Joseph Cotten"",""Actors"":""Tim Holt, Joseph Cotten, Dolores Costello"",""Plot"":""The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved."",""Language"":""English"",""Country"":""United States"",""Awards"":""Nominated for 4 Oscars. 4 wins & 4 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BOTQ4Y2I5MzYtNDJkZS00YTFmLWJkODctMmU3YzQ3ZDhkMWE5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.6/10""},{""Source"":""Rotten Tomatoes"",""Value"":""89%""},{""Source"":""Metacritic"",""Value"":""93/100""}],""Metascore"":""93"",""imdbRating"":""7.6"",""imdbVotes"":""25,083"",""imdbID"":""tt0035015"",""Type"":""movie"",""DVD"":""13 Sep 2011"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Meshes of the Afternoon	Q1922418	Maya Deren&Alexandr Hackenschmied	female&male	Maya Deren	female	Meshes of the Afternoon	Meshes of the Afternoon	tt0036154	Short, Fantasy, Mystery	100	7.9	None	true	Maya Deren, Alexander Hammid	14	Not Rated	United States	1943	true	false	16		"{""Title"":""Meshes of the Afternoon"",""Year"":""1943"",""Rated"":""Not Rated"",""Released"":""N/A"",""Runtime"":""14 min"",""Genre"":""Short, Fantasy, Mystery"",""Director"":""Maya Deren, Alexander Hammid"",""Writer"":""Maya Deren"",""Actors"":""Maya Deren, Alexander Hammid"",""Plot"":""A woman returning home falls asleep and has vivid dreams that may or may not be happening in reality. Through repetitive images and complete mismatching of the objective view of time and space, her dark inner desires play out on-s..."",""Language"":""None"",""Country"":""United States"",""Awards"":""1 win"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYzI0ODY4MTgtNjcxZC00Njk5LWI4MjQtZWRhMzU0ZjgwNDlmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.9/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""7.9"",""imdbVotes"":""13,363"",""imdbID"":""tt0036154"",""Type"":""movie"",""DVD"":""17 Apr 2020"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Life and Death of Colonel Blimp	Q1319302	Michael Powell&Emeric Pressburger	male&male	Michael Powell&Emeric Pressburger	male&male	The Life and Death of Colonel Blimp	The Life and Death of Colonel Blimp	tt0036112	Drama, Romance, War	97	8.0	English, French, German	false	Roger Livesey, Deborah Kerr, Anton Walbrook	163	Not Rated	United Kingdom	1943	false	true		93	"{""Title"":""The Life and Death of Colonel Blimp"",""Year"":""1943"",""Rated"":""Not Rated"",""Released"":""26 Jul 1943"",""Runtime"":""163 min"",""Genre"":""Drama, Romance, War"",""Director"":""Michael Powell, Emeric Pressburger"",""Writer"":""Michael Powell, Emeric Pressburger"",""Actors"":""Roger Livesey, Deborah Kerr, Anton Walbrook"",""Plot"":""From the Boer War through World War II, a soldier rises through the ranks in the British military."",""Language"":""English, French, German"",""Country"":""United Kingdom"",""Awards"":""1 win & 2 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMzg2MzE5YTktNzc3NC00NTI0LTk3OGMtNzQ5OWE4NmJiZGRhXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.0/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""}],""Metascore"":""N/A"",""imdbRating"":""8.0"",""imdbVotes"":""15,048"",""imdbID"":""tt0036112"",""Type"":""movie"",""DVD"":""29 Oct 2002"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Les enfants du paradis	Q865580	Marcel Carné	male	Jacques Prévert	male	Les Enfants du paradis	Children of Paradise	tt0037674	Drama, Romance	98	8.3	French	false	Arletty, Jean-Louis Barrault, Pierre Brasseur	189	Not Rated	France	1945	false	true		73	"{""Title"":""Children of Paradise"",""Year"":""1945"",""Rated"":""Not Rated"",""Released"":""15 Nov 1946"",""Runtime"":""189 min"",""Genre"":""Drama, Romance"",""Director"":""Marcel Carné"",""Writer"":""Jacques Prévert"",""Actors"":""Arletty, Jean-Louis Barrault, Pierre Brasseur"",""Plot"":""The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her."",""Language"":""French"",""Country"":""France"",""Awards"":""Nominated for 1 Oscar. 2 wins & 1 nomination total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZjVjYTAzYjctZTZkNi00NmNhLWJkY2UtNjEyOWQ5NTI0MmEzXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""},{""Source"":""Metacritic"",""Value"":""96/100""}],""Metascore"":""96"",""imdbRating"":""8.3"",""imdbVotes"":""20,075"",""imdbID"":""tt0037674"",""Type"":""movie"",""DVD"":""22 Jan 2002"",""BoxOffice"":""$36,986"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
A Matter of Life and Death	Q1546792	Michael Powell&Emeric Pressburger	male&male	Michael Powell&Emeric Pressburger	male&male	Stairway to Heaven	A Matter of Life and Death	tt0038733	Drama, Fantasy, Romance	97	8.0	English, French, Russian	false	David Niven, Kim Hunter, Robert Coote	104	PG	United Kingdom	1946	true	true	78	90	"{""Title"":""Stairway to Heaven"",""Year"":""1946"",""Rated"":""PG"",""Released"":""01 Mar 1947"",""Runtime"":""104 min"",""Genre"":""Drama, Fantasy, Romance"",""Director"":""Michael Powell, Emeric Pressburger"",""Writer"":""Michael Powell, Emeric Pressburger"",""Actors"":""David Niven, Kim Hunter, Robert Coote"",""Plot"":""A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl."",""Language"":""English, French, Russian"",""Country"":""United Kingdom"",""Awards"":""2 wins & 3 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZmQzZjIyN2EtOWI5Ni00ZDgyLTk4NGQtZmQ3ZWRhODIyZTVlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.0/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""}],""Metascore"":""N/A"",""imdbRating"":""8.0"",""imdbVotes"":""22,290"",""imdbID"":""tt0038733"",""Type"":""movie"",""DVD"":""06 Jan 2004"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Bicycle Thieves	Q172837	Vittorio De Sica	male	Cesare Zavattini&Vittorio De Sica&Suso Cecchi d'Amico&Oreste Biancoli&Gerardo Guerrieri&Gherardo Gherardi&Adolfo Franci	male&male&female&male&male&male&male	Ladri di biciclette	Bicycle Thieves	tt0040522	Drama	99	8.3	Italian, English, German	false	Lamberto Maggiorani, Enzo Staiola, Lianella Carell	89	Not Rated	Italy	1948	true	true	41	33	"{""Title"":""Bicycle Thieves"",""Year"":""1948"",""Rated"":""Not Rated"",""Released"":""13 Dec 1949"",""Runtime"":""89 min"",""Genre"":""Drama"",""Director"":""Vittorio De Sica"",""Writer"":""Cesare Zavattini, Luigi Bartolini, Oreste Biancoli"",""Actors"":""Lamberto Maggiorani, Enzo Staiola, Lianella Carell"",""Plot"":""In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."",""Language"":""Italian, English, German"",""Country"":""Italy"",""Awards"":""Nominated for 1 Oscar. 20 wins & 3 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""99%""}],""Metascore"":""N/A"",""imdbRating"":""8.3"",""imdbVotes"":""164,211"",""imdbID"":""tt0040522"",""Type"":""movie"",""DVD"":""12 Aug 2003"",""BoxOffice"":""$371,111"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Red Shoes	Q625780	Emeric Pressburger&Michael Powell	male&male	Emeric Pressburger&Michael Powell	male&male	The Red Shoes	The Red Shoes	tt0040725	Drama, Music, Romance	97	8.1	English, French, Russian	false	Anton Walbrook, Marius Goring, Moira Shearer	135	Not Rated	United Kingdom	1948	true	false	67		"{""Title"":""The Red Shoes"",""Year"":""1948"",""Rated"":""Not Rated"",""Released"":""20 Sep 1948"",""Runtime"":""135 min"",""Genre"":""Drama, Music, Romance"",""Director"":""Michael Powell, Emeric Pressburger"",""Writer"":""Hans Christian Andersen, Emeric Pressburger, Keith Winter"",""Actors"":""Anton Walbrook, Marius Goring, Moira Shearer"",""Plot"":""A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina."",""Language"":""English, French, Russian"",""Country"":""United Kingdom"",""Awards"":""Won 2 Oscars. 6 wins & 7 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BOWRmNGEwZjUtZjEwNS00OGZmLThhMmEtZTJlMTU5MGQ3ZWUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.1/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""}],""Metascore"":""N/A"",""imdbRating"":""8.1"",""imdbVotes"":""35,412"",""imdbID"":""tt0040725"",""Type"":""movie"",""DVD"":""01 Mar 2001"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Late Spring	Q743203	Yasujirō Ozu	male	Kōgo Noda&Yasujirō Ozu&Kazuo Hirotsu	male&male&male	晩春	Late Spring	tt0041154	Drama	100	8.2	Japanese	false	Chishû Ryû, Setsuko Hara, Yumeji Tsukioka	108	Not Rated	Japan	1949	true	true	21	21	"{""Title"":""Late Spring"",""Year"":""1949"",""Rated"":""Not Rated"",""Released"":""21 Jul 1972"",""Runtime"":""108 min"",""Genre"":""Drama"",""Director"":""Yasujirô Ozu"",""Writer"":""Kazuo Hirotsu, Kôgo Noda, Yasujirô Ozu"",""Actors"":""Chishû Ryû, Setsuko Hara, Yumeji Tsukioka"",""Plot"":""Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father."",""Language"":""Japanese"",""Country"":""Japan"",""Awards"":""5 wins"",""Poster"":""https://m.media-amazon.com/images/M/MV5BN2RlMjIwMDMtYzA5NS00NzYxLWJiNjAtYTQxZTg1ZGUwZjU1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.2/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""8.2"",""imdbVotes"":""17,257"",""imdbID"":""tt0041154"",""Type"":""movie"",""DVD"":""09 May 2006"",""BoxOffice"":""$13,254"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Third Man	Q271830	Carol Reed	male	Graham Greene&Orson Welles&Alexander Korda	male&male&male	The Third Man	The Third Man	tt0041959	Film-Noir, Mystery, Thriller	99	8.1	English, German, Russian, French	false	Orson Welles, Joseph Cotten, Alida Valli	93	Approved	United Kingdom	1949	true	true	63	73	"{""Title"":""The Third Man"",""Year"":""1949"",""Rated"":""Approved"",""Released"":""03 Sep 1949"",""Runtime"":""93 min"",""Genre"":""Film-Noir, Mystery, Thriller"",""Director"":""Carol Reed"",""Writer"":""Graham Greene, Orson Welles, Alexander Korda"",""Actors"":""Orson Welles, Joseph Cotten, Alida Valli"",""Plot"":""Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."",""Language"":""English, German, Russian, French"",""Country"":""United Kingdom"",""Awards"":""Won 1 Oscar. 5 wins & 4 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.1/10""},{""Source"":""Rotten Tomatoes"",""Value"":""99%""},{""Source"":""Metacritic"",""Value"":""97/100""}],""Metascore"":""97"",""imdbRating"":""8.1"",""imdbVotes"":""172,424"",""imdbID"":""tt0041959"",""Type"":""movie"",""DVD"":""28 Oct 2008"",""BoxOffice"":""$1,067,364"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
